STUDY,n,mean_ARR_preRTX,SD.1,mean_ARR_postRTX,SD.2
"Ciotti et al., 2020",9,2.51,1.79,0.87,1.78
"Inan et al., 2020",4,0.17,0.21,0.98,1.01
"Mao et al., 2019",7,3.07,2.8,0.16,0.41
"Whittam et al., 2020",47,2.57,3.2,0.05,0.11
"Zhou et al., 2019",8,1.77,1.14,0.94,1.03
